fs ()	Athr (Pa)
0.01	87304.68749999997
0.02	53876.95312499997
0.03	46142.57812499997
0.04	42363.281249999985
0.05	40253.906249999985
0.060000000000000005	38759.765624999985
0.06999999999999999	37675.781249999985
0.08	36855.468749999985
0.09	36152.343749999985
0.09999999999999999	35507.812499999985
0.11	35009.765624999985
0.12	34687.499999999985
0.13	34394.531249999985
0.14	34101.562499999985
0.15000000000000002	33867.187499999985
0.16	33691.406249999985
0.17	33486.328124999985
0.18000000000000002	33339.843749999985
0.19	33134.765624999985
0.2	32988.281249999985
0.21000000000000002	32871.093749999985
0.22	32753.906249999985
0.23	32636.718749999985
0.24000000000000002	32519.531249999985
0.25	32402.343749999985
0.26	32314.453124999985
0.27	32226.562499999985
0.28	32167.968749999985
0.29000000000000004	32050.781249999985
0.3	31992.187499999985
0.31	31933.593749999985
0.32	31874.999999999985
0.33	31816.406249999985
0.34	31757.812499999985
0.35000000000000003	31728.515624999985
0.36000000000000004	31699.218749999985
0.37	31699.218749999985
0.38	31699.218749999985
0.39	31699.218749999985
0.4	31699.218749999985
0.41000000000000003	31699.218749999985
0.42000000000000004	31699.218749999985
0.43	31699.218749999985
0.44	31699.218749999985
0.45	31699.218749999985
0.46	31699.218749999985
0.47000000000000003	31699.218749999985
0.48000000000000004	31699.218749999985
0.49	31699.218749999985
0.5	31699.218749999985
0.51	31699.218749999985
0.52	31699.218749999985
0.53	31699.218749999985
0.54	31699.218749999985
0.55	31699.218749999985
0.56	31699.218749999985
0.5700000000000001	31699.218749999985
0.5800000000000001	31699.218749999985
0.59	31699.218749999985
0.6	31699.218749999985
0.61	31699.218749999985
0.62	31699.218749999985
0.63	31699.218749999985
0.64	31699.218749999985
0.65	31699.218749999985
0.66	31699.218749999985
0.67	31699.218749999985
0.68	31699.218749999985
0.6900000000000001	31699.218749999985
0.7000000000000001	31699.218749999985
0.7100000000000001	31699.218749999985
0.72	31699.218749999985
0.73	31699.218749999985
0.74	31699.218749999985
0.75	31728.515624999985
0.76	31728.515624999985
0.77	31728.515624999985
0.78	31728.515624999985
0.79	31728.515624999985
0.8	31728.515624999985
0.81	31728.515624999985
0.8200000000000001	31728.515624999985
0.8300000000000001	31728.515624999985
0.8400000000000001	31728.515624999985
0.85	31728.515624999985
0.86	31728.515624999985
0.87	31757.812499999985
0.88	31757.812499999985
0.89	31757.812499999985
0.9	31757.812499999985
0.91	31757.812499999985
0.92	31757.812499999985
0.93	31757.812499999985
0.9400000000000001	31757.812499999985
0.9500000000000001	31757.812499999985
0.9600000000000001	31757.812499999985
0.97	31816.406249999985
0.98	31816.406249999985
0.99	31816.406249999985
